Geography,Allocated Multiple Race Case Count (Raw),"COVID-19
Total Multiple Race Rate (Suppressed)",date
Alpine,,,6/3/2020
Anza-Borrego Springs,,,6/3/2020
Carlsbad,,,6/3/2020
Central Region,20.0000,114.299,6/3/2020
Central San Diego,6.7587,97.510,6/3/2020
Chula Vista,5.2031,196.818,6/3/2020
City of Carlsbad,,,6/3/2020
City of Chula Vista,10.9517,141.915,6/3/2020
City of Coronado,,,6/3/2020
City of Del Mar,,,6/3/2020
City of El Cajon,,,6/3/2020
City of Encinitas,,,6/3/2020
City of Escondido,,,6/3/2020
City of Imperial Beach,,,6/3/2020
City of La Mesa,,,6/3/2020
City of Lemon Grove,,,6/3/2020
City of National City,,,6/3/2020
City of Oceanside,,,6/3/2020
City of Poway,,,6/3/2020
City of San Diego,26.4125,47.533,6/3/2020
City of San Marcos,,,6/3/2020
City of Santee,,,6/3/2020
City of Solana Beach,,,6/3/2020
City of Vista,,,6/3/2020
Coastal,,,6/3/2020
Coronado,,,6/3/2020
Del Mar-Mira Mesa,,,6/3/2020
East Region,5.0000,26.694,6/3/2020
El Cajon,,,6/3/2020
Elliott-Navajo,,,6/3/2020
Escondido,,,6/3/2020
Fallbrook,,,6/3/2020
Harbison Crest,,,6/3/2020
Harbison Crest-El Cajon,,,6/3/2020
Jamul,,,6/3/2020
Kearny Mesa,,,6/3/2020
La Mesa,,,6/3/2020
Laguna-Pine Valley,,,6/3/2020
Lakeside,,,6/3/2020
Lemon Grove,,,6/3/2020
Mid-City,,,6/3/2020
Miramar,,,6/3/2020
Mountain Empire,,,6/3/2020
National City,,,6/3/2020
North Central Region,5.0000,17.151,6/3/2020
North Coastal Region,,,6/3/2020
North County,7.0000,17.310,6/3/2020
North Inland Region,,,6/3/2020
North San Diego,,,6/3/2020
Oceanside,,,6/3/2020
Palomar-Julian,,,6/3/2020
Pauma,,,6/3/2020
Pendleton,,,6/3/2020
Peninsula,,,6/3/2020
Poway,,,6/3/2020
Ramona,,,6/3/2020
San Diego County,52.0000,43.502,6/3/2020
San Dieguito,,,6/3/2020
San Marcos,,,6/3/2020
Santee,,,6/3/2020
South Bay,,,6/3/2020
South Region,15.0000,109.369,6/3/2020
Southeastern San Diego,8.5992,181.322,6/3/2020
Spring Valley,,,6/3/2020
Supervisorial District 1,21.6786,124.091,6/3/2020
Supervisorial District 2,6.1639,24.659,6/3/2020
Supervisorial District 3,,,6/3/2020
Supervisorial District 4,16.1578,61.406,6/3/2020
Supervisorial District 5,5.0992,23.284,6/3/2020
Sweetwater,5.6207,108.568,6/3/2020
Unincorporated,,,6/3/2020
University,,,6/3/2020
Valley Center,,,6/3/2020
Vista,,,6/3/2020
